"Letter","Synapses","Sex","Treatment","Time","ID","P1","P2","X","Y","Age","Animal","Category","Cell"
"AA","Glutamate","Male","Control",13.08333333,"23615006",-10.04670811,-30.79866028,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",13.16666667,"23615006",-10.25551224,-65.18715668,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",13.25,"23615006",-29.44946289,-4.425048828,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",13.33333333,"23615006",-8.022911072,-41.59224701,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",13.41666667,"23615006",-116.6413956,-109.9275284,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",13.5,"23615006",-55.28500366,-15.61215019,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",13.58333333,"23615006",-10.29566669,-55.46168137,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",13.66666667,"23615006",-8.906313896,-6.464908123,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",13.75,"23615006",-108.9959412,-24.15707207,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",13.83333333,"23615006",-8.255807877,-126.6640091,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",13.91666667,"23615006",-88.35642242,-6.569310188,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",14,"23615006",-6.842362404,-5.011307716,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",14.08333333,"23615006",-77.40221405,-48.71569061,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",14.16666667,"23615006",-8.263838768,-17.41911316,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",14.25,"23615006",-9.163304329,-123.9094009,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",14.33333333,"23615006",-9.339984894,-20.32631302,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",14.41666667,"23615006",-66.39982605,-71.28263855,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",14.5,"23615006",-9.580913544,-6.529155731,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",14.58333333,"23615006",-29.6823597,-58.36888504,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",14.66666667,"23615006",-109.3493042,-55.02801132,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",14.75,"23615006",-58.90695572,-94.91770172,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",14.83333333,"23615006",-56.28886795,-67.88555145,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",14.91666667,"23615006",-104.7234802,-20.49496269,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",15,"23615007",-43.82484818,-4.762348175,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",15.08333333,"23615007",-116.6976089,-129.5149994,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",15.16666667,"23615007",-47.55120468,-3.605892897,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",15.25,"23615007",-7.589239597,-62.52088165,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",15.33333333,"23615007",-63.75764465,-32.62971497,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",15.41666667,"23615007",-13.36348724,-115.2921982,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",15.5,"23615007",-7.541054249,-61.25199127,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",15.58333333,"23615007",-21.4426136,-3.742418766,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",15.66666667,"23615007",-8.777819633,-109.4858246,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",15.75,"23615007",-8.199591637,-6.978888035,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",15.83333333,"23615007",-39.14281082,-51.96019363,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",15.91666667,"23615007",-41.7448349,-9.396202087,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",16,"23615007",-6.810238361,-8.030941963,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",16.08333333,"23615007",-74.55926514,-32.44500351,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",16.16666667,"23615007",-68.1264801,-5.260266781,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",16.25,"23615007",-143.0391083,-71.01761627,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",16.33333333,"23615007",-58.36888504,-11.37181377,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",16.41666667,"23615007",-10.82570934,-151.2065735,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",16.5,"23615007",-41.64043045,-6.850393295,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",16.58333333,"23615007",-6.826300144,-53.21302032,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",16.66666667,"23615007",-94.50009155,-6.609465122,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",16.75,"23615007",-7.717734814,-7.717734814,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",16.83333333,"23615007",-91.07891083,-89.8582077,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",16.91666667,"23615007",-44.74840546,-5.685906887,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",17,"23615007",-14.38341618,-7.669549465,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",17.08333333,"23615007",-10.87389469,-7.822137356,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",17.16666667,"23615007",-9.396202087,-163.2047882,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",17.25,"23615007",-30.74244499,-99.71217346,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",17.33333333,"23615007",-54.329319,-7.332249641,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",17.41666667,"23615007",-13.70881748,-6.994950294,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",17.5,"23615007",-59.83051682,-9.17133522,165.2896875,215.629375,31,13,2,"13.2.1"
